IP地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）,地区码,端口
85.209.132.85,4,4,0,250.42,10.44,FRA,8443
5.187.3.170,4,4,0,181.78,10.43,FRA,443
147.45.196.240,4,4,0,267.73,10.4,FRA,8443
5.230.44.117,4,4,0,198.25,10.32,FRA,16771
31.169.127.161,4,4,0,271.66,10.27,FRA,443
5.187.6.30,4,4,0,174.39,10.16,FRA,8443
167.172.164.250,4,4,0,255.64,10.15,FRA,443
79.132.142.62,4,4,0,168.43,10.14,FRA,8443
185.103.253.226,4,4,0,286.49,10.12,FRA,2053
77.105.132.157,4,4,0,267.24,10.1,FRA,8443
45.9.116.160,4,4,0,183.64,10.08,FRA,443
2.59.134.248,4,4,0,176.94,10.08,FRA,1003
179.61.132.85,4,4,0,212.72,10.06,FRA,443
78.40.216.169,4,4,0,265.32,10.06,AMS,443
207.154.235.176,4,4,0,248.41,9.94,FRA,2053
87.106.141.152,4,4,0,211.74,9.93,TXL,2053
185.233.80.60,4,4,0,254.45,9.93,FRA,8443
64.188.79.4,4,4,0,257,9.92,FRA,443
188.244.122.31,4,1,0.75,235,9.9,LAX,443
185.103.252.54,4,4,0,284,9.9,FRA,2053
194.24.161.146,4,4,0,187.26,9.86,FRA,4090
147.45.196.240,4,4,0,262.63,9.79,FRA,8443
92.42.99.21,4,4,0,275.58,9.77,FRA,443
167.99.140.246,4,4,0,265.04,9.77,FRA,8443
178.128.198.120,4,4,0,240.82,9.74,FRA,8443
167.99.140.246,4,4,0,262.22,9.73,FRA,8443
185.189.58.206,4,4,0,235.65,9.73,FRA,443
207.154.235.176,4,4,0,267.65,9.72,FRA,2053
43.240.149.208,4,4,0,207.47,9.7,FRA,443
91.108.243.39,4,4,0,285.46,9.7,FRA,443
91.228.154.170,4,4,0,184.87,9.66,FRA,2053
81.200.154.2,4,4,0,265.18,9.65,AMS,2053
194.48.250.61,4,4,0,239.61,9.65,FRA,8443
91.149.233.78,4,4,0,273.74,9.62,FRA,443
207.244.199.59,4,4,0,197.56,9.6,FRA,2053
103.228.171.5,4,4,0,184.18,9.59,FRA,8443
31.172.72.21,4,4,0,164.62,9.57,FRA,2053
80.76.33.220,4,4,0,270.6,9.56,FRA,8443
14.102.228.204,4,4,0,214.02,9.52,LAX,2096
109.122.198.64,4,4,0,250.29,9.52,FRA,443
31.58.85.103,4,4,0,158.62,9.49,FRA,443
176.57.221.225,4,4,0,263.29,9.45,AMS,443
194.87.58.58,4,4,0,272.95,9.41,FRA,443
91.149.223.248,4,4,0,268.59,9.41,FRA,2053
5.187.4.45,4,4,0,197.62,9.37,FRA,443
5.187.0.73,4,4,0,187.78,9.14,FRA,8443
79.132.138.87,4,4,0,208.32,9.02,FRA,443
79.133.51.180,4,4,0,256.93,9.01,FRA,443
31.172.72.83,4,4,0,167.76,8.98,FRA,443
5.199.133.190,4,4,0,187.77,8.83,DUS,2087
80.66.85.52,4,4,0,280.35,8.83,FRA,8443
185.254.67.220,4,4,0,265.22,8.77,FRA,8443
5.187.3.105,4,4,0,197.8,8.77,FRA,443
95.140.157.183,4,4,0,266.3,8.65,AMS,2053
3.66.115.225,4,4,0,176.03,8.62,FRA,443
185.250.180.25,4,4,0,149.45,8.59,FRA,8443
77.83.86.169,4,4,0,171.21,8.57,FRA,2053
